Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC
Date,,,,,,
2024-11-15 00:00:00+00:00,18680.119140625,18680.119140625,18936.75,18598.869140625,18929.919921875,8002270000
2024-11-14 00:00:00+00:00,19107.650390625,19107.650390625,19275.80078125,19073.390625,19256.08984375,8680480000
2024-11-13 00:00:00+00:00,19230.720703125,19230.720703125,19358.48046875,19191.130859375,19286.4609375,9623670000
2024-11-12 00:00:00+00:00,19281.400390625,19281.400390625,19343.05078125,19168.51953125,19289.810546875,7816410000
2024-11-11 00:00:00+00:00,19298.759765625,19298.759765625,19366.0703125,19193.2890625,19355.33984375,8087930000
2024-11-08 00:00:00+00:00,19286.779296875,19286.779296875,19318.560546875,19224.4296875,19255.140625,7316010000
2024-11-07 00:00:00+00:00,19269.4609375,19269.4609375,19301.69921875,19084.4296875,19084.4296875,9232670000
2024-11-06 00:00:00+00:00,18983.470703125,18983.470703125,19000.5,18730.2109375,18772.759765625,8138050000
2024-11-05 00:00:00+00:00,18439.169921875,18439.169921875,18449.6796875,18250.7109375,18250.7109375,7060340000
2024-11-04 00:00:00+00:00,18179.98046875,18179.98046875,18308.30078125,18112.830078125,18220.4296875,5762320000
2024-11-01 00:00:00+00:00,18239.919921875,18239.919921875,18363.939453125,18181.529296875,18189.669921875,5896470000
