날짜,매매기준율,전일대비,현찰,현찰,송금,송금
날짜,매매기준율,전일대비,사실 때,파실 때,보내실 때,받으실 때
2024.07.10,1384.5,0.5,1408.72,1360.28,1398.0,1371.0
2024.07.09,1384.0,1.0,1408.22,1359.78,1397.5,1370.5
2024.07.08,1385.0,2.5,1409.23,1360.77,1398.5,1371.5
2024.07.05,1382.5,0.5,1406.69,1358.31,1396.0,1369.0
2024.07.04,1382.0,5.0,1406.18,1357.82,1395.5,1368.5
2024.07.03,1387.0,0.0,1411.27,1362.73,1400.5,1373.5
2024.07.02,1387.0,2.5,1411.27,1362.73,1400.5,1373.5
2024.07.01,1384.5,2.5,1408.72,1360.28,1398.0,1371.0
2024.06.28,1382.0,5.5,1406.18,1357.82,1395.5,1368.5
2024.06.27,1387.5,7.0,1411.78,1363.22,1401.0,1374.0
2024.06.26,1394.5,2.5,1418.9,1370.1,1408.1,1380.9
2024.06.25,1392.0,4.0,1416.36,1367.64,1405.6,1378.4
2024.06.24,1388.0,3.0,1412.29,1363.71,1401.6,1374.4
